id,timestamp,package_name,video_title,video_id,learning_event_type,additional_data
4521603,1749513095,ai.elimu.filamu,piper,1,VIDEO_OPENED,
4521604,1749513144,ai.elimu.filamu,piper,1,VIDEO_COMPLETED,{'video_playback_position_ms': 54310}
4521605,1749513181,ai.elimu.filamu,piper,1,VIDEO_OPENED,
4521606,1749513228,ai.elimu.filamu,piper,1,VIDEO_COMPLETED,{'video_playback_position_ms': 9477}
4521607,1749513262,ai.elimu.filamu,piper,1,VIDEO_OPENED,
4521608,1749513310,ai.elimu.filamu,piper,1,VIDEO_COMPLETED,{'video_playback_position_ms': 45915}
4521609,1749513357,ai.elimu.filamu,piper,1,VIDEO_OPENED,
4521610,1749513392,ai.elimu.filamu,piper,1,VIDEO_COMPLETED,{'video_playback_position_ms': 5691}
4521611,1749513506,ai.elimu.filamu,piper,1,VIDEO_OPENED,
4521612,1749513551,ai.elimu.filamu,piper,1,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 17744}
4521613,1749513605,ai.elimu.filamu,piper,1,VIDEO_OPENED,
4521614,1749513611,ai.elimu.filamu,piper,1,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 37655}
4521615,1749513682,ai.elimu.filamu,piper,1,VIDEO_OPENED,
4521616,1749513689,ai.elimu.filamu,piper,1,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 6422}
4521617,1749513795,ai.elimu.filamu,piper,1,VIDEO_OPENED,
4521618,1749513821,ai.elimu.filamu,piper,1,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 54888}
4521619,1749513867,ai.elimu.filamu,piper,1,VIDEO_OPENED,
4521620,1749513901,ai.elimu.filamu,piper,1,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 49042}
4521621,1749514007,ai.elimu.filamu,piper,1,VIDEO_OPENED,
4521622,1749514021,ai.elimu.filamu,piper,1,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 16592}
4521623,1749514110,ai.elimu.filamu,piper,1,VIDEO_OPENED,
4521624,1749514160,ai.elimu.filamu,piper,1,VIDEO_COMPLETED,{'video_playback_position_ms': 14571}
4521625,1749514207,ai.elimu.filamu,piper,1,VIDEO_OPENED,
4521626,1749514231,ai.elimu.filamu,piper,1,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 7141}
