id,timestamp,package_name,learning_event_type,additional_data,research_experiment,experiment_group,video_title,video_id
473101,1749687919,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473102,1749687948,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 41531},,,चिड़िया,1
473103,1749688035,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473104,1749688075,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 12009},,,चिड़िया,1
473105,1749688164,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473106,1749688194,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 32429},,,चिड़िया,1
473107,1749688297,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473108,1749688308,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 11978},,,चिड़िया,1
473109,1749688392,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473110,1749688426,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 20460},,,चिड़िया,1
473111,1749688453,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473112,1749688457,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 29328},,,चिड़िया,1
473113,1749688538,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473114,1749688554,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 56617},,,चिड़िया,1
473115,1749688610,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473116,1749688634,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 4460},,,चिड़िया,1
473117,1749688734,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473118,1749688736,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 7250},,,चिड़िया,1
473119,1749688806,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473120,1749688839,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 24671},,,चिड़िया,1
473121,1749688947,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473122,1749688973,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 25459},,,चिड़िया,1
473123,1749689071,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473124,1749689089,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 20294},,,चिड़िया,1
473239,1749781855,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473240,1749781901,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 6436},,,चिड़िया,1
473241,1749781990,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
473242,1749782026,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 6931},,,चिड़िया,1
473243,1749782054,ai.elimu.filamu,VIDEO_OPENED,,,,चिड़िया,1
