id,timestamp,package_name,learning_event_type,additional_data,research_experiment,experiment_group,video_title,video_id
5807424,1749511949,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807425,1749511995,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 18144},,,akili and me - letter a,1
5807426,1749512026,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter c,3
5807427,1749512083,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 28941},,,akili and me - letter c,3
5807428,1749512144,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter i,33
5807429,1749512194,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 33862},,,akili and me - letter i,33
5807430,1749512269,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807431,1749512285,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 26499},,,akili and me - letter a,1
5807432,1749512335,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter b,2
5807433,1749512378,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 14575},,,akili and me - letter b,2
5807434,1749598061,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807435,1749598111,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 25337},,,akili and me - letter a,1
5807436,1749598169,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter b,2
5807437,1749598198,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 13201},,,akili and me - letter b,2
5807438,1749598243,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807439,1749598275,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 50321},,,akili and me - letter a,1
5807440,1749598311,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter i,33
5807441,1749598327,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 2184},,,akili and me - letter i,33
5807442,1749598372,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter c,3
5807443,1749598426,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 4185},,,akili and me - letter c,3
5807444,1749685859,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807445,1749685889,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 39929},,,akili and me - letter a,1
5807446,1749685935,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter i,33
5807447,1749685973,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 1544},,,akili and me - letter i,33
5807448,1749686001,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807449,1749686041,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 39394},,,akili and me - letter a,1
5807450,1749686110,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter i,33
5807451,1749686130,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 19144},,,akili and me - letter i,33
5807518,1749780781,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - the rectangle song,13
5807519,1749780814,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 50001},,,akili and me - the rectangle song,13
5807520,1749780928,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter i,33
5807521,1749780953,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 14402},,,akili and me - letter i,33
5807522,1749781069,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - the rectangle song,13
5807523,1749781080,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 27687},,,akili and me - the rectangle song,13
5807524,1749781197,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter b,2
5807525,1749781234,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 40476},,,akili and me - letter b,2
5807526,1749781272,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807527,1749781291,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 40028},,,akili and me - letter a,1
5807528,1749781375,ai.elimu.filamu,VIDEO_OPENED,,,,[test] a test video,44
5807529,1749781417,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 2045},,,[test] a test video,44
5807596,1749943785,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - the rectangle song,13
5807597,1749943832,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 49391},,,akili and me - the rectangle song,13
5807598,1749943894,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter b,2
5807599,1749943938,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 35053},,,akili and me - letter b,2
5807600,1749943991,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - the rectangle song,13
5807601,1749944027,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 36517},,,akili and me - the rectangle song,13
5807602,1749944136,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter a,1
5807603,1749944188,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 42166},,,akili and me - letter a,1
5807604,1749944248,ai.elimu.filamu,VIDEO_OPENED,,,,[test] a test video,44
5807605,1749944288,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 32067},,,[test] a test video,44
5807606,1749944319,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - the rectangle song,13
5807607,1749944376,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 18675},,,akili and me - the rectangle song,13
5807608,1749944489,ai.elimu.filamu,VIDEO_OPENED,,,,akili and me - letter b,2
5807609,1749944509,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 15716},,,akili and me - letter b,2
